# Created by Octave 3.4.0, Thu Oct 25 23:21:22 2012 IST <apple@Gaganpreet-Singh.local>
# name: matrix_including_histograms
# type: matrix
# rows: 51
# columns: 16
 x y1 y2 y3 h11 h12 h13 h21 h22 h23 h31 h32 h33 h41 h42 h43
 26 0.0005919101108762149 0.002873005650163567 0.0003872148218624071 0 0.001 0.001 0.0011 0.0027 0.0005999999999999999 0.00058 0.00277 0.00037 0.000585 0.002856 0.000391
 27 0.0002254895660480824 0.001596114250090871 0.0001295078554357007 0 0.001 0 0.0002 0.0015 0 8.000000000000001e-05 0.00165 0.00014 0.000222 0.00162 0.000121
 28 7.938153090468114e-05 0.0008550612054058132 3.938028650424004e-05 0 0 0 0 0.0011 0 0.00012 0.0008899999999999999 4e-05 9.399999999999999e-05 0.000852 4.8e-05
 29 2.580877359462587e-05 0.0004422730372788752 1.088680018124229e-05 0.001 0 0 0 0.0004 0 3e-05 0.0005999999999999999 0 2.6e-05 0.000429 1.4e-05
 30 7.74263207838768e-06 0.0002211365186394371 2.736278216457305e-06 0 0.001 0 0 0.0004 0 0 0.00023 0 6e-06 0.000222 1e-06
 31 2.140819929508106e-06 0.0001070015412771468 6.252574498519134e-07 0 0 0 0 0 0 0 0.00015 0 0 0.000116 0
 32 5.447622142051917e-07 5.015697247366281e-05 1.298961017047662e-07 0 0 0 0 0 0 0 6e-05 0 0 3.8e-05 0
 33 1.273470111128991e-07 2.279862385166445e-05 2.453420451573697e-08 0 0 0 0 0 0 0 1e-05 0 0 2.6e-05 0
 34 2.728864523847898e-08 1.005821640514632e-05 4.212951557885539e-09 0 0 0 0 0.0001 0 0 1e-05 0 0 8e-06 0
 35 5.346346822232551e-09 4.31066417363409e-06 6.577177622279675e-10 0 0 0 0 0 0 0 1e-05 0 0 5e-06 0
 36 9.547047896843746e-10 1.796110072347515e-06 9.335364857711402e-11 0 0 0 0 0 0 0 1e-05 0 0 1e-06 0
 37 1.548169929217952e-10 7.281527320327963e-07 1.204652102367374e-11 0 0 0 0 0 0 0 0 0 0 1e-06 0
 38 2.269873204492427e-11 2.874287100129389e-07 1.413287800834264e-12 0 0 0 0 0 0 0 0 0 0 1e-06 0
 39 2.993239390539474e-12 1.105495038511315e-07 1.507433624646718e-13 0 0 0 0 0 0 0 0 0 0 0 0
 40 3.527746424564355e-13 4.145606394417398e-08 1.461788050069654e-14 0 0 0 0 0 0 0 0 0 0 0 0
 41 3.687539816617829e-14 1.516685266250278e-08 1.288751657718978e-15 0 0 0 0 0 0 0 0 0 0 0 0
 42 3.386516158118439e-15 5.416733093751024e-09 1.032981841770644e-16 0 0 0 0 0 0 0 0 0 0 0 0
 43 2.700212219097706e-16 1.889558055959621e-09 7.527569233741897e-18 0 0 0 0 0 0 0 0 0 0 0 0
 44 1.841053785748461e-17 6.44167519077154e-10 4.987184676604524e-19 0 0 0 0 0 0 0 0 0 0 0 0
 45 1.052030734713381e-18 2.147225063590457e-10 3.003964273789903e-20 0 0 0 0 0 0 0 0 0 0 0 0
 46 4.90076429214334e-20 7.001820859534438e-11 1.645025736171124e-21 0 0 0 0 0 0 0 0 0 0 0 0
 47 1.787512811723942e-21 2.234623678574749e-11 8.190100879364749e-23 0 0 0 0 0 0 0 0 0 0 0 0
 48 4.787980745689211e-23 6.983198995546156e-12 3.707186425117991e-24 0 0 0 0 0 0 0 0 0 0 0 0
 49 8.375476523071573e-25 2.137713978228469e-12 1.525591365344482e-25 0 0 0 0 0 0 0 0 0 0 0 0
 50 7.178979876918459e-27 6.41314193468527e-13 5.707824859013806e-27 0 0 0 0 0 0 0 0 0 0 0 0


